分类,关系链编码,主称呼,所有称呼(别名)
主要关系,,自己,自己、我、俺、吾、本人、在下
主要关系,"f,f,f,f,f,f,f,f,f,f,f,f",先祖父,先祖父、先太爷、十二世祖
主要关系,"f,f,f,f,f,f,f,f,f,f,f,m",先祖母,先祖母、先太奶
主要关系,"f,f,f,f,f,f,f,f,f,f,f",始祖父,始祖父、始太爷、十一世祖
主要关系,"f,f,f,f,f,f,f,f,f,f,m",始祖母,始祖母、始太奶
主要关系,"f,f,f,f,f,f,f,f,f,f",开祖父,开祖父、开太爷、十世祖
主要关系,"f,f,f,f,f,f,f,f,f,m",开祖母,开祖母、开太奶
主要关系,"f,f,f,f,f,f,f,f,f",鼻祖父,鼻祖父、鼻太爷、九世祖
主要关系,"f,f,f,f,f,f,f,f,m",鼻祖母,鼻祖母、鼻太奶
主要关系,"f,f,f,f,f,f,f,f",远祖父,远祖父、远太爷、八世祖
主要关系,"f,f,f,f,f,f,f,m",远祖母,远祖母、远太奶
主要关系,"f,f,f,f,f,f,f",太祖父,太祖父、太太爷、七世祖
主要关系,"f,f,f,f,f,f,m",太祖母,太祖母、太太奶
主要关系,"f,f,f,f,f,f",烈祖父,烈祖父、烈太爷、六世祖
主要关系,"f,f,f,f,f,m",烈祖母,烈祖母、烈太奶
主要关系,"f,f,f,f,f",天祖父,天祖父、天太爷、五世祖
主要关系,"f,f,f,f,m",天祖母,天祖母、天太奶
主要关系,"f,f,f,f",高祖父,高祖父、外曾外曾外毑父、曾曾祖父、祖太公、祖太爷、高太爷、祖太翁、祖太爷爷、四世祖
主要关系,"f,f,f,m",高祖母,高祖母、外曾外曾外毑母、曾曾祖母、祖太婆、祖太奶、高太奶、祖太姆、祖太奶奶
主要关系,"f,f,m,f",高外祖父,高外祖父、外曾外曾毑父、高外翁
主要关系,"f,f,m,m",高外祖母,高外祖母、外曾外曾毑母、高外婆
主要关系,"f,m,f,f",曾外曾祖父,曾外曾祖父、外高外毑父
主要关系,"f,m,f,m",曾外曾祖母,曾外曾祖母、外高外毑母
主要关系,"f,m,m,f",曾外曾外祖父,曾外曾外祖父、外高毑父
主要关系,"f,m,m,m",曾外曾外祖母,曾外曾外祖母、外高毑母
主要关系,"m,f,f,f",外高祖父,外高祖父、曾外曾外毑父
主要关系,"m,f,f,m",外高祖母,外高祖母、曾外曾外毑母
主要关系,"m,f,m,f",外高外祖父,外高外祖父、曾外曾祖毑父
主要关系,"m,f,m,m",外高外祖母,外高外祖母、曾外曾祖毑母
主要关系,"m,m,f,f",外曾外曾祖父,外曾外曾祖父、高外毑父
主要关系,"m,m,f,m",外曾外曾祖母,外曾外曾祖母、高外毑母
主要关系,"m,m,m,f",外曾外曾外祖父,外曾外曾外祖父、高毑父
主要关系,"m,m,m,m",外曾外曾外祖母,外曾外曾外祖母、高毑母
主要关系,"f,f,f",曾祖父,曾祖父、曾祖、外曾外毑父、太公、太爷、老太爷、太翁、太爷爷、曾爷爷、公太、佬嗲、祖爷、三世祖
主要关系,"f,f,m",曾祖母,曾祖母、外曾外毑母、太婆、太奶、老太奶、太嬷、太姆、太奶奶、曾奶奶、婆太、老娭毑
主要关系,"f,m,f",曾外祖父,曾外祖父、曾外祖、外曾毑父、太外公、太外爷、太外翁、太外爷爷
主要关系,"f,m,m",曾外祖母,曾外祖母、外曾毑母、太外婆、太外奶、太外嬷、太外姆、太外奶奶
主要关系,"m,f,f",外曾祖父,外曾祖父、外曾祖、曾外毑父、外太公、外太爷、外太翁、外太爷爷
主要关系,"m,f,m",外曾祖母,外曾祖母、曾外毑母、外太婆、外太奶、外太嬷、外太姆、外太奶奶
主要关系,"m,m,f",外曾外祖父,外曾外祖父、外曾外祖、曾毑父、外太外公、外太外爷、外太外翁、外太外爷爷、外太姥爷
主要关系,"m,m,m",外曾外祖母,外曾外祖母、曾毑母、外太外婆、外太外奶、外太外嬷、外太外姆、外太外奶奶、外太姥姥
主要关系,"f,f",爷爷,爷爷、祖父、祖公、阿爷、阿公、奶爹、亚爷、亚公、依爷、大父、祖翁、嗲嗲、爷、祖君、奶爷、爷儿、爷老、爷老子、爷老倌、二世祖
主要关系,"f,m",奶奶,奶奶、祖母、祖婆、阿奶、阿婆、奶娘、亚嬷、亚婆、依奶、大母、祖嫲、嫲嫲、奶、重慈、阿嬷、婻婻、娭毑、嗯奶、娘姆、媪婆、亲婆
主要关系,"m,f",外公,外公、外祖父、姥爷、阿公、外爷、客公、毑父、毑公、姥公、舅家爷、嘎公、嘎爹、嘎嘎爹、嘎爷爷、尕公、毑爹、毑爷、外大父、姥爹、魏公、魏爷、简爷
主要关系,"m,m",外婆,外婆、外祖母、姥姥、阿婆、外奶、客婆、毑母、毑婆、姥婆、舅家婆、嘎嘎、嘎婆、嘎嘎婆、嘎奶奶、尕婆、毑娘、毑毑、外大母、姥娘、魏婆、魏奶、简婆、阿嬷、外嬷、嫲嫲、好婆、嫏嫏、嫏娘、姥
主要关系,"f,f,ob",伯公,伯公、伯祖、伯翁、大爷爷、大嗲、大爷、大公、大阿爷
主要关系,"f,f,ob,w",伯婆,伯婆、姆婆、大奶奶、伯娭毑
主要关系,"f,f,lb",叔公,叔公、叔祖、叔翁、小爷爷、晚公、幺爷、细嗲
主要关系,"f,f,lb,w",叔婆,叔婆、婶婆、小奶奶、叔娭毑、晚婆、幺奶
主要关系,"f,f,xs",姑奶奶,姑奶奶、祖姑、姑奶、恩婆、姑娭毑
主要关系,"f,f,xs,h",姑爷爷,姑爷爷、祖姑丈、恩爹、姑丈公、丈公
主要关系,"f,m,ob",大舅爷,大舅爷、大舅爹
主要关系,"f,m,ob,w",大舅婆,大舅婆
主要关系,"f,m,lb",小舅爷,小舅爷、小舅爹
主要关系,"f,m,lb,w",小舅婆,小舅婆
主要关系,"f,m,xb",舅爷爷,舅爷爷、舅祖、舅爹、太舅父
主要关系,"f,m,xb,w",舅奶奶,舅奶奶、妗婆、舅婆、妗奶、太舅母
主要关系,"f,m,xs",姨奶奶,姨奶奶、姨奶、姨娭毑
主要关系,"f,m,xs,h",姨爷爷,姨爷爷、姨公公、姨爹、姨丈公、丈公
主要关系,"m,f,ob",伯外公,伯外公、外伯祖、伯外祖、大外公、大姥爷、大外爷
主要关系,"m,f,ob,w",伯外婆,伯外婆、外姆婆、大外婆、大姥姥、大姥奶
主要关系,"m,f,lb",叔外公,叔外公、外叔祖、叔外祖、小外公、小姥爷、小外爷
主要关系,"m,f,lb,w",叔外婆,叔外婆、外婶婆、小外婆、小姥姥、婶姥姥、小姥奶
主要关系,"m,f,xs",姑外婆,姑外婆、姑婆、恩婆
